"Date"|"Description"|"RowId"|"Name"|"FullName"|"Amount"|"AccountName"|"Category"
"2014-07-17 10:59:00"|Verizon|29|Cable|Expenses:Utilities:Basking Ridge and Tewksbury:Cable|16231|Chase Sapphire Visa 8471|Bills & Utilities
"2014-08-19 10:59:00"|Verizon|29|Cable|Expenses:Utilities:Basking Ridge and Tewksbury:Cable|16231|Chase Sapphire Visa 8471|Bills & Utilities
"2014-09-07 10:59:00"|Cablevision|29|Cable|Expenses:Utilities:Basking Ridge and Tewksbury:Cable|24921|Chase Sapphire Visa 8471|Bills & Utilities
"2014-09-17 10:59:00"|Verizon|29|Cable|Expenses:Utilities:Basking Ridge and Tewksbury:Cable|16231|Chase Sapphire Visa 8471|Bills & Utilities
"2014-10-16 10:59:00"|Cablevision|29|Cable|Expenses:Utilities:Basking Ridge and Tewksbury:Cable|11788|Chase Sapphire Visa 8471|Bills & Utilities
"2014-10-17 10:59:00"|Verizon|29|Cable|Expenses:Utilities:Basking Ridge and Tewksbury:Cable|16240|Chase Sapphire Visa 8471|Bills & Utilities
"2014-11-18 10:59:00"|Verizon|29|Cable|Expenses:Utilities:Basking Ridge and Tewksbury:Cable|16240|Chase Sapphire Visa 8471|Bills & Utilities
"2014-12-10 10:59:00"|Cablevision|29|Cable|Expenses:Utilities:Basking Ridge and Tewksbury:Cable|11788|Chase Sapphire Visa 8471|Bills & Utilities
"2014-12-17 10:59:00"|Verizon|29|Cable|Expenses:Utilities:Basking Ridge and Tewksbury:Cable|16240|Chase Sapphire Visa 8471|Bills & Utilities
"2015-01-06 10:59:00"|Cablevision|29|Cable|Expenses:Utilities:Basking Ridge and Tewksbury:Cable|12087|Chase Sapphire Visa 8471|Bills & Utilities
"2015-01-18 10:59:00"|Verizon|29|Cable|Expenses:Utilities:Basking Ridge and Tewksbury:Cable|16255|Chase Sapphire Visa 8471|Bills & Utilities
"2015-02-17 10:59:00"|Verizon|29|Cable|Expenses:Utilities:Basking Ridge and Tewksbury:Cable|16255|Chase Sapphire Visa 8471|Bills & Utilities
